2021-02-14 07:58:12.236 The Virtual Hub is now online.
2021-02-14 08:10:28.824 Administration mode [RPC-27] (Virtual Hub "warHub"): User "test01" has been created.
2021-02-14 08:11:27.391 Administration mode [RPC-27] (Virtual Hub "warHub"): The Virtual Hub setting has been changed.
2021-02-14 08:11:50.999 Administration mode [RPC-27] (Virtual Hub "warHub"): The SecureNAT function has been enabled.
2021-02-14 08:11:50.999 SecureNAT has started. The SecureNAT session "SID-SECURENAT-1" was created.
2021-02-14 08:11:59.110 SecureNAT: It has been detected that the Kernel-mode NAT for SecureNAT can be run on the interface "ipv4_rawsocket_virtual_router". The Kernel-mode NAT is starting. The TCP, UDP and ICMP NAT processings will be performed with high-performance via Kernel-Mode hereafter. The parameters of Kernel-mode NAT: IP Address = "10.171.7.254", Subnet Mask = "255.255.255.252", Default Gateway = "10.171.7.253", Broadcast Address = "10.171.7.255", Virtual MAC Address: "DA-22-59-63-5E-69", DHCP Server Address: "10.171.7.253", DNS Server Address: "8.8.8.8"
2021-02-14 08:13:25.958 The connection "CID-40" (IP address: 111.37.52.187, Host name: 111.37.52.187, Port number: 13569, Client name: "SoftEther VPN Client", Version: 4.34, Build: 9745) is attempting to connect to the Virtual Hub. The auth type provided is "Password authentication" and the user name is "test01".
2021-02-14 08:13:25.958 Connection "CID-40": Successfully authenticated as user "test01".
2021-02-14 08:13:25.969 Connection "CID-40": The new session "SID-TEST01-2" has been created. (IP address: 111.37.52.187, Port number: 13569, Physical underlying protocol: "Standard TCP/IP (IPv4)")
2021-02-14 08:13:25.969 Session "SID-TEST01-2": The parameter has been set. Max number of TCP connections: 32, Use of encryption: Yes, Use of compression: Yes, Use of Half duplex communication: No, Timeout: 20 seconds.
2021-02-14 08:13:38.617 SecureNAT: The UDP session 99 has been created. Connection source 192.168.30.10:60685, Connection destination 192.168.30.1:53
2021-02-14 08:13:38.638 SecureNAT: The UDP session 100 has been created. Connection source 192.168.30.10:64697, Connection destination 192.168.30.1:53
2021-02-14 08:13:38.961 SecureNAT: The UDP session 101 has been created. Connection source 192.168.30.10:55047, Connection destination 192.168.30.1:53
2021-02-14 08:13:39.093 SecureNAT: The TCP session 102 has been created. Connection source 192.168.30.10:50399, Connection destination 107.167.110.216:443
2021-02-14 08:13:39.143 SecureNAT: The TCP session 103 has been created. Connection source 192.168.30.10:50400, Connection destination 220.181.33.191:443
2021-02-14 08:13:39.143 SecureNAT: The TCP session 104 has been created. Connection source 192.168.30.10:50401, Connection destination 31.13.90.33:443
2021-02-14 08:13:39.143 SecureNAT: The TCP session 105 has been created. Connection source 192.168.30.10:50402, Connection destination 31.13.90.33:443
2021-02-14 08:13:39.143 SecureNAT: The TCP session 106 has been created. Connection source 192.168.30.10:50403, Connection destination 31.13.90.33:443
2021-02-14 08:13:39.143 SecureNAT: The TCP session 107 has been created. Connection source 192.168.30.10:50404, Connection destination 31.13.90.33:443
2021-02-14 08:13:39.143 SecureNAT: The TCP session 108 has been created. Connection source 192.168.30.10:50405, Connection destination 220.181.33.191:443
2021-02-14 08:13:39.203 SecureNAT: The TCP session 109 has been created. Connection source 192.168.30.10:50406, Connection destination 107.167.110.211:443
2021-02-14 08:13:39.224 SecureNAT: The TCP session 110 has been created. Connection source 192.168.30.10:50407, Connection destination 107.167.110.211:443
2021-02-14 08:13:39.314 SecureNAT: The TCP session 111 has been created. Connection source 192.168.30.10:50408, Connection destination 185.26.182.106:443
2021-02-14 08:13:39.466 SecureNAT: The TCP session 112 has been created. Connection source 192.168.30.10:50409, Connection destination 185.26.182.106:443
2021-02-14 08:13:39.466 SecureNAT: The TCP session 113 has been created. Connection source 192.168.30.10:50410, Connection destination 107.167.110.224:443
2021-02-14 08:13:39.597 SecureNAT: The TCP session 114 has been created. Connection source 192.168.30.10:50411, Connection destination 107.167.110.224:443
2021-02-14 08:13:39.830 SecureNAT: The UDP session 115 has been created. Connection source 192.168.30.10:50676, Connection destination 192.168.30.1:53
2021-02-14 08:13:39.963 SecureNAT: The UDP session 116 has been created. Connection source 192.168.30.10:56070, Connection destination 192.168.30.1:53
2021-02-14 08:13:39.973 SecureNAT: The UDP session 117 has been created. Connection source 192.168.30.10:56383, Connection destination 192.168.30.1:53
2021-02-14 08:13:40.104 SecureNAT: The TCP session 118 has been created. Connection source 192.168.30.10:50413, Connection destination 44.239.200.142:443
2021-02-14 08:13:40.235 SecureNAT: The UDP session 119 has been created. Connection source 192.168.30.10:60492, Connection destination 192.168.30.1:53
2021-02-14 08:13:40.256 SecureNAT: The TCP session 120 has been created. Connection source 192.168.30.10:50414, Connection destination 180.101.49.12:443
2021-02-14 08:13:40.256 SecureNAT: The UDP session 121 has been created. Connection source 192.168.30.10:64569, Connection destination 192.168.30.1:53
2021-02-14 08:13:40.469 SecureNAT: The TCP session 123 has been created. Connection source 192.168.30.10:50415, Connection destination 180.101.49.11:443
2021-02-14 08:13:40.469 SecureNAT: The UDP session 124 has been created. Connection source 192.168.30.10:58876, Connection destination 192.168.30.1:53
2021-02-14 08:13:40.550 SecureNAT: The UDP session 125 has been created. Connection source 192.168.30.10:62304, Connection destination 192.168.30.1:53
2021-02-14 08:13:40.560 SecureNAT: The TCP session 126 has been created. Connection source 192.168.30.10:50416, Connection destination 61.172.205.221:80
2021-02-14 08:13:40.560 SecureNAT: The UDP session 127 has been created. Connection source 192.168.30.10:60541, Connection destination 192.168.30.1:53
2021-02-14 08:13:40.581 SecureNAT: The UDP session 128 has been created. Connection source 192.168.30.10:58704, Connection destination 192.168.30.1:53
2021-02-14 08:13:40.621 SecureNAT: The UDP session 129 has been created. Connection source 192.168.30.10:61199, Connection destination 192.168.30.1:53
2021-02-14 08:13:40.631 SecureNAT: The TCP session 130 has been created. Connection source 192.168.30.10:50417, Connection destination 117.18.237.29:80
2021-02-14 08:13:40.631 SecureNAT: The UDP session 131 has been created. Connection source 192.168.30.10:50544, Connection destination 192.168.30.1:53
2021-02-14 08:13:40.722 SecureNAT: The UDP session 132 has been created. Connection source 192.168.30.10:56394, Connection destination 192.168.30.1:53
